review_id,user_id,hotel_id,review_date,score_overall,score_cleanliness,score_comfort,score_facilities,score_location,score_staff,score_value_for_money,user_gender,country_x,age_group,traveller_type,city,country_y,cleanliness_base,comfort_base,facilities_base,location_base,staff_base,value_for_money_base
1,1600,1,2022-10-07,8.7,8.6,8.7,8.5,9.0,8.8,8.7,Female,New Zealand,25-34,Solo,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
2,432,4,2020-03-24,9.1,10.0,9.1,9.0,8.6,9.4,8.6,Female,United Kingdom,35-44,Couple,Tokyo,Japan,9.6,9.0,9.3,8.5,9.5,8.2
3,186,18,2023-12-18,8.8,9.7,8.8,8.3,8.7,8.1,8.6,Female,Spain,55+,Couple,Cairo,Egypt,8.8,8.7,8.6,9.1,8.7,8.4
4,1403,19,2022-06-22,8.9,9.0,8.8,8.5,9.6,9.1,8.3,Female,United Kingdom,35-44,Business,Barcelona,Spain,9.2,9.1,8.9,9.7,9.0,8.8
5,1723,17,2022-07-02,9.1,8.9,9.5,9.3,8.3,9.4,8.9,Male,Australia,45-54,Family,Moscow,Russia,9.1,9.3,9.0,9.0,9.1,8.6
6,800,7,2025-08-10,8.7,8.2,8.7,8.1,9.5,9.0,8.8,Male,United States,25-34,Solo,Sydney,Australia,8.9,9.0,8.5,9.8,8.9,8.4
7,830,23,2022-06-05,8.9,8.1,9.0,8.6,9.6,9.2,8.2,Male,China,25-34,Business,Buenos Aires,Argentina,8.9,8.8,8.7,9.0,8.8,8.7
8,1492,6,2020-02-19,8.8,8.1,8.7,9.3,9.3,9.5,7.4,Female,United Arab Emirates,25-34,Business,Singapore,Singapore,9.2,9.1,9.4,9.7,9.1,8.3
9,1009,13,2021-03-21,8.8,8.4,8.4,8.1,9.1,9.5,8.9,Male,Canada,35-44,Solo,Mumbai,India,8.9,8.8,8.7,9.2,8.8,8.6
10,1334,15,2022-11-20,8.8,9.4,9.2,8.0,9.3,8.3,8.5,Female,Brazil,35-44,Couple,Cape Town,South Africa,9.0,9.2,8.8,9.5,9.2,8.4
11,71,13,2020-05-15,8.9,9.7,8.9,8.3,9.2,8.9,8.2,Male,New Zealand,25-34,Couple,Mumbai,India,8.9,8.8,8.7,9.2,8.8,8.6
12,1279,18,2021-04-26,8.7,8.7,8.5,8.6,9.8,8.8,7.3,Male,United Kingdom,25-34,Business,Cairo,Egypt,8.8,8.7,8.6,9.1,8.7,8.4
13,714,18,2023-04-10,8.7,8.6,8.8,8.9,9.0,9.0,7.6,Male,United Kingdom,45-54,Business,Cairo,Egypt,8.8,8.7,8.6,9.1,8.7,8.4
14,964,9,2021-06-29,9.1,9.4,8.9,9.1,8.7,9.6,8.9,Male,United States,35-44,Family,Berlin,Germany,9.3,9.2,9.0,9.1,9.1,8.7
15,1042,25,2022-10-07,9.1,8.7,8.4,9.2,9.4,9.7,8.8,Male,Argentina,18-24,Solo,Wellington,New Zealand,9.3,9.2,9.1,9.0,9.1,8.8
16,485,1,2021-01-18,8.7,8.8,8.9,8.4,8.9,8.7,8.4,Female,Spain,55+,Solo,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
17,1421,1,2020-12-04,8.8,8.3,8.6,9.1,9.5,9.1,7.5,Male,Australia,25-34,Business,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
18,232,6,2023-04-09,8.9,9.4,9.5,8.5,9.5,8.3,8.0,Female,United States,25-34,Couple,Singapore,Singapore,9.2,9.1,9.4,9.7,9.1,8.3
19,588,3,2020-06-24,8.8,8.6,8.7,8.5,9.3,9.2,8.3,Male,United States,18-24,Solo,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
20,70,11,2024-04-07,9.0,9.7,8.7,9.0,9.1,9.0,8.4,Male,Germany,55+,Family,Shanghai,China,9.1,9.0,9.2,9.6,9.0,8.9
21,708,24,2022-09-05,8.7,8.9,9.5,7.9,9.2,8.1,8.3,Female,Netherlands,35-44,Couple,Lagos,Nigeria,8.7,8.6,8.5,8.9,8.6,8.4
22,1722,2,2024-10-27,9.1,9.3,9.4,9.6,8.9,8.9,8.2,Male,United States,35-44,Family,London,United Kingdom,9.0,9.2,8.8,9.4,9.0,7.9
23,248,15,2024-11-16,9.0,9.8,9.6,7.9,9.1,9.1,8.2,Female,Canada,25-34,Couple,Cape Town,South Africa,9.0,9.2,8.8,9.5,9.2,8.4
24,667,20,2025-11-17,9.1,9.0,8.8,8.9,9.3,9.5,8.9,Male,United Kingdom,55+,Solo,Bangkok,Thailand,9.0,9.2,9.1,9.4,9.1,8.6
25,1493,7,2024-06-15,8.9,9.1,9.7,7.8,9.7,8.5,8.0,Male,Spain,35-44,Couple,Sydney,Australia,8.9,9.0,8.5,9.8,8.9,8.4
26,503,4,2024-01-15,9.0,8.9,8.9,9.5,9.4,9.4,7.2,Female,Russia,25-34,Business,Tokyo,Japan,9.6,9.0,9.3,8.5,9.5,8.2
27,160,25,2020-02-14,9.0,9.6,9.9,8.0,9.1,8.4,8.6,Male,China,25-34,Couple,Wellington,New Zealand,9.3,9.2,9.1,9.0,9.1,8.8
28,1635,17,2021-04-20,9.2,9.0,9.5,9.6,9.0,9.5,8.5,Female,United States,25-34,Family,Moscow,Russia,9.1,9.3,9.0,9.0,9.1,8.6
29,524,20,2025-06-14,9.0,8.7,8.9,9.5,9.3,8.7,8.3,Female,Australia,35-44,Business,Bangkok,Thailand,9.0,9.2,9.1,9.4,9.1,8.6
30,550,17,2025-11-30,8.8,9.2,9.6,8.2,8.8,8.4,8.3,Male,South Korea,55+,Couple,Moscow,Russia,9.1,9.3,9.0,9.0,9.1,8.6
31,1138,21,2024-10-02,8.7,8.6,8.7,8.5,9.1,8.8,8.6,Female,Canada,25-34,Solo,Istanbul,Turkey,9.1,9.0,8.8,9.3,8.9,8.5
32,1569,7,2024-07-04,9.1,9.6,9.0,9.4,9.1,9.1,8.4,Male,Japan,35-44,Family,Sydney,Australia,8.9,9.0,8.5,9.8,8.9,8.4
33,1832,9,2025-10-23,9.2,9.4,9.8,8.8,9.5,8.7,8.8,Female,Germany,35-44,Couple,Berlin,Germany,9.3,9.2,9.0,9.1,9.1,8.7
34,960,12,2023-04-07,8.7,8.3,8.9,8.5,9.0,9.3,8.1,Male,Russia,55+,Business,Mexico City,Mexico,8.7,8.9,8.5,9.0,8.7,8.5
35,318,21,2025-07-26,8.9,9.0,9.2,8.5,9.3,8.3,8.6,Female,China,25-34,Couple,Istanbul,Turkey,9.1,9.0,8.8,9.3,8.9,8.5
36,710,1,2023-06-17,8.8,9.3,9.4,8.2,9.1,8.3,8.4,Other,United Kingdom,18-24,Couple,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
37,1756,18,2021-09-15,8.6,8.6,8.2,7.9,8.7,9.1,8.8,Other,United States,25-34,Solo,Cairo,Egypt,8.8,8.7,8.6,9.1,8.7,8.4
38,1548,10,2022-11-20,9.0,9.4,9.0,9.0,8.4,9.3,9.0,Male,Italy,25-34,Solo,Toronto,Canada,9.4,9.3,9.2,8.8,9.2,8.8
39,1479,5,2023-12-28,8.9,9.2,9.2,8.7,9.4,9.0,7.9,Female,Argentina,18-24,Couple,Dubai,United Arab Emirates,9.3,9.5,9.6,8.9,9.4,8.5
40,1199,7,2022-04-21,9.1,9.1,9.1,8.9,9.7,9.0,8.9,Male,India,25-34,Family,Sydney,Australia,8.9,9.0,8.5,9.8,8.9,8.4
41,1036,24,2021-04-19,8.8,9.1,8.9,9.2,8.3,8.3,8.8,Female,Russia,45-54,Family,Lagos,Nigeria,8.7,8.6,8.5,8.9,8.6,8.4
42,90,19,2020-09-30,9.0,9.8,8.9,9.3,8.8,8.8,8.4,Male,United Kingdom,45-54,Family,Barcelona,Spain,9.2,9.1,8.9,9.7,9.0,8.8
43,1950,16,2023-03-31,9.2,9.2,9.2,8.8,9.3,9.7,9.0,Male,South Korea,25-34,Solo,Seoul,South Korea,9.3,9.4,9.1,8.9,9.3,8.5
44,1752,5,2023-05-10,9.1,8.3,8.9,9.4,9.6,9.6,8.1,Other,United States,18-24,Business,Dubai,United Arab Emirates,9.3,9.5,9.6,8.9,9.4,8.5
45,181,3,2021-08-31,8.6,8.6,8.6,8.3,9.2,8.7,7.9,Male,Germany,25-34,Business,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
46,1566,4,2025-05-07,9.1,10.0,9.3,8.3,9.0,9.2,8.5,Female,Russia,25-34,Couple,Tokyo,Japan,9.6,9.0,9.3,8.5,9.5,8.2
47,1093,12,2021-02-13,8.7,8.8,9.4,8.1,9.3,8.4,8.1,Male,Spain,35-44,Couple,Mexico City,Mexico,8.7,8.9,8.5,9.0,8.7,8.5
48,1141,16,2022-10-10,8.9,9.3,9.5,8.5,8.5,8.8,8.5,Male,Canada,35-44,Couple,Seoul,South Korea,9.3,9.4,9.1,8.9,9.3,8.5
49,1610,3,2025-08-14,8.6,8.9,9.2,7.9,8.9,8.5,7.9,Male,Brazil,25-34,Couple,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
50,1928,22,2022-07-04,9.3,10.0,9.7,8.2,9.3,9.1,9.0,Female,India,35-44,Couple,Amsterdam,Netherlands,9.4,9.1,9.0,9.6,9.2,8.9
51,1813,17,2022-11-27,8.9,8.5,9.3,8.2,9.3,9.3,8.7,Male,Argentina,35-44,Solo,Moscow,Russia,9.1,9.3,9.0,9.0,9.1,8.6
52,251,25,2021-12-31,8.9,9.1,9.1,8.6,9.2,8.6,8.9,Female,China,35-44,Couple,Wellington,New Zealand,9.3,9.2,9.1,9.0,9.1,8.8
53,1611,19,2021-01-14,9.1,9.2,9.5,7.9,9.9,9.0,8.5,Female,China,25-34,Couple,Barcelona,Spain,9.2,9.1,8.9,9.7,9.0,8.8
54,1383,1,2020-09-06,8.7,8.2,8.8,8.7,9.4,9.0,7.4,Female,South Africa,35-44,Business,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
55,397,24,2024-04-13,8.9,9.5,8.3,9.3,8.9,8.9,8.6,Male,Canada,35-44,Family,Lagos,Nigeria,8.7,8.6,8.5,8.9,8.6,8.4
56,1619,5,2024-11-22,9.1,8.6,9.1,9.8,9.4,9.2,8.2,Other,Nigeria,18-24,Business,Dubai,United Arab Emirates,9.3,9.5,9.6,8.9,9.4,8.5
57,609,13,2025-05-26,8.7,8.1,8.3,8.8,9.8,9.1,7.6,Other,Spain,35-44,Business,Mumbai,India,8.9,8.8,8.7,9.2,8.8,8.6
58,542,3,2023-10-25,8.8,7.8,9.5,8.6,9.5,9.1,7.7,Male,Japan,35-44,Business,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
59,1482,22,2024-04-18,9.1,8.9,8.6,9.4,10.0,9.4,7.9,Male,United Kingdom,45-54,Business,Amsterdam,Netherlands,9.4,9.1,9.0,9.6,9.2,8.9
60,1158,6,2023-02-04,9.0,9.5,9.7,8.7,9.5,8.4,7.7,Male,Thailand,25-34,Couple,Singapore,Singapore,9.2,9.1,9.4,9.7,9.1,8.3
61,1000,20,2024-09-19,9.2,9.3,9.9,8.2,9.7,9.1,8.5,Male,United Kingdom,25-34,Couple,Bangkok,Thailand,9.0,9.2,9.1,9.4,9.1,8.6
62,567,17,2020-06-26,9.2,9.6,9.6,9.6,9.1,8.6,8.7,Male,Japan,35-44,Family,Moscow,Russia,9.1,9.3,9.0,9.0,9.1,8.6
63,1873,3,2022-07-08,9.1,8.8,8.9,8.8,9.8,9.5,8.7,Female,United Kingdom,25-34,Solo,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
64,37,21,2020-02-28,9.0,9.6,9.6,8.4,9.7,8.3,8.1,Male,Australia,18-24,Couple,Istanbul,Turkey,9.1,9.0,8.8,9.3,8.9,8.5
65,1437,25,2023-09-09,9.0,9.9,9.1,8.1,8.9,8.7,8.9,Male,Italy,35-44,Couple,Wellington,New Zealand,9.3,9.2,9.1,9.0,9.1,8.8
66,1702,23,2020-08-21,8.9,8.8,8.7,8.6,9.6,9.3,7.9,Male,South Korea,55+,Business,Buenos Aires,Argentina,8.9,8.8,8.7,9.0,8.8,8.7
67,873,21,2021-06-15,9.0,9.7,9.0,8.9,8.8,9.0,8.8,Female,Turkey,45-54,Family,Istanbul,Turkey,9.1,9.0,8.8,9.3,8.9,8.5
68,1828,24,2020-04-14,8.7,9.5,8.8,8.4,8.4,8.3,8.6,Male,United States,35-44,Couple,Lagos,Nigeria,8.7,8.6,8.5,8.9,8.6,8.4
69,831,9,2024-08-03,9.0,9.1,9.6,8.2,8.9,8.9,8.9,Female,United Kingdom,25-34,Couple,Berlin,Germany,9.3,9.2,9.0,9.1,9.1,8.7
70,1510,3,2020-06-30,8.9,8.4,9.3,8.1,9.5,9.1,9.0,Female,United States,35-44,Solo,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
71,871,12,2020-05-09,8.9,9.4,9.0,8.5,8.9,8.9,8.6,Male,New Zealand,25-34,Couple,Mexico City,Mexico,8.7,8.9,8.5,9.0,8.7,8.5
72,296,13,2021-01-18,8.7,8.2,8.1,8.6,9.1,9.2,8.6,Male,United States,18-24,Solo,Mumbai,India,8.9,8.8,8.7,9.2,8.8,8.6
73,1472,11,2025-11-21,9.0,9.9,9.2,8.9,9.4,8.2,8.2,Female,United States,25-34,Couple,Shanghai,China,9.1,9.0,9.2,9.6,9.0,8.9
74,1552,15,2023-05-24,8.9,8.7,8.9,8.1,9.8,9.1,8.7,Female,China,18-24,Solo,Cape Town,South Africa,9.0,9.2,8.8,9.5,9.2,8.4
75,1773,9,2023-10-07,9.2,10.0,9.3,8.9,9.2,8.4,8.9,Male,Germany,18-24,Couple,Berlin,Germany,9.3,9.2,9.0,9.1,9.1,8.7
76,1478,3,2022-05-23,8.9,8.7,8.9,8.1,9.3,10.0,8.5,Female,Japan,45-54,Solo,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
77,1111,14,2023-05-24,9.0,9.2,9.4,8.8,9.3,8.5,8.4,Male,United Kingdom,25-34,Couple,Rome,Italy,9.2,9.1,8.9,9.8,9.0,8.7
78,1654,3,2024-07-22,8.9,8.9,8.6,8.7,8.9,9.7,8.7,Male,United Kingdom,25-34,Solo,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
79,979,11,2020-10-10,9.1,9.5,9.4,9.5,8.6,8.7,9.0,Male,Japan,35-44,Family,Shanghai,China,9.1,9.0,9.2,9.6,9.0,8.9
