age_group,hotel_country,n,median_vfm,rank
18-24,China,231,8.8,1
18-24,Netherlands,224,8.75,2
18-24,Canada,222,8.7,3
18-24,Germany,219,8.7,4
18-24,Spain,218,8.7,5
18-24,New Zealand,208,8.7,6
18-24,Italy,197,8.7,7
18-24,Russia,239,8.6,8
18-24,Turkey,226,8.6,9
18-24,Argentina,194,8.6,10
18-24,India,186,8.6,11
18-24,Brazil,234,8.55,12
18-24,Thailand,196,8.55,13
18-24,Mexico,247,8.5,14
18-24,United Arab Emirates,242,8.5,15
18-24,South Africa,217,8.5,16
18-24,Australia,216,8.45,17
18-24,Nigeria,235,8.4,18
18-24,South Korea,217,8.4,19
18-24,Egypt,211,8.4,20
18-24,Japan,208,8.3,21
18-24,Singapore,205,8.3,22
18-24,France,215,8.2,23
18-24,United Kingdom,227,8.1,24
18-24,United States,181,8.1,25
25-34,China,680,8.8,1
25-34,Spain,674,8.7,2
25-34,New Zealand,659,8.7,3
25-34,Netherlands,616,8.7,4
25-34,Germany,683,8.6,5
25-34,Brazil,655,8.6,6
25-34,Italy,636,8.6,7
25-34,Argentina,632,8.6,8
25-34,Canada,599,8.6,9
25-34,South Korea,698,8.5,10
25-34,United Arab Emirates,686,8.5,11
25-34,Thailand,673,8.5,12
25-34,India,668,8.5,13
25-34,Turkey,653,8.5,14
25-34,Mexico,620,8.5,15
25-34,Russia,620,8.5,16
25-34,Egypt,705,8.4,17
25-34,Singapore,673,8.4,18
25-34,Australia,639,8.4,19
25-34,South Africa,632,8.4,20
25-34,Nigeria,627,8.4,21
25-34,Japan,663,8.3,22
25-34,France,668,8.2,23
25-34,United States,647,8.1,24
25-34,United Kingdom,616,8.1,25
35-44,Netherlands,609,8.8,1
35-44,New Zealand,672,8.7,2
35-44,Canada,645,8.7,3
35-44,China,626,8.7,4
35-44,Spain,625,8.7,5
35-44,India,639,8.6,6
35-44,Thailand,639,8.6,7
35-44,Argentina,623,8.6,8
35-44,Russia,588,8.6,9
35-44,Italy,582,8.6,10
35-44,Germany,567,8.6,11
35-44,South Korea,661,8.5,12
35-44,Mexico,629,8.5,13
35-44,Turkey,596,8.5,14
35-44,United Arab Emirates,592,8.5,15
35-44,Brazil,580,8.5,16
35-44,Egypt,662,8.4,17
35-44,Nigeria,657,8.4,18
35-44,South Africa,638,8.4,19
35-44,Australia,605,8.4,20
35-44,Singapore,600,8.3,21
35-44,Japan,568,8.3,22
35-44,France,647,8.2,23
35-44,United States,611,8.2,24
35-44,United Kingdom,591,8.0,25
45-54,China,303,8.8,1
45-54,New Zealand,310,8.7,2
45-54,Thailand,358,8.6,3
45-54,Italy,342,8.6,4
45-54,Germany,325,8.6,5
45-54,Canada,317,8.6,6
45-54,Spain,313,8.6,7
45-54,Brazil,306,8.6,8
45-54,Netherlands,295,8.6,9
45-54,Russia,323,8.5,10
45-54,Argentina,320,8.5,11
45-54,India,308,8.5,12
45-54,South Korea,297,8.5,13
45-54,Turkey,281,8.5,14
45-54,South Africa,328,8.4,15
45-54,Singapore,325,8.4,16
45-54,Nigeria,317,8.4,17
45-54,United Arab Emirates,315,8.4,18
45-54,Egypt,313,8.4,19
45-54,Mexico,300,8.4,20
45-54,Australia,284,8.350000000000001,21
45-54,Japan,322,8.3,22
45-54,France,287,8.2,23
45-54,United States,344,8.1,24
45-54,United Kingdom,291,8.0,25
55+,New Zealand,211,8.7,1
55+,Netherlands,205,8.7,2
55+,Spain,209,8.6,3
55+,China,200,8.6,4
55+,Thailand,189,8.6,5
55+,India,188,8.6,6
55+,Argentina,187,8.6,7
55+,Canada,181,8.6,8
55+,Italy,214,8.55,9
55+,Germany,228,8.5,10
55+,Mexico,208,8.5,11
55+,Russia,200,8.5,12
55+,Turkey,192,8.5,13
55+,Brazil,187,8.5,14
55+,South Africa,164,8.5,15
55+,Nigeria,213,8.4,16
55+,Australia,210,8.4,17
55+,United Arab Emirates,200,8.4,18
55+,South Korea,198,8.4,19
55+,Egypt,213,8.3,20
55+,Singapore,212,8.3,21
55+,Japan,210,8.2,22
55+,France,176,8.2,23
55+,United Kingdom,177,8.1,24
55+,United States,215,8.0,25
