traveller_type,city,n,mean_composite,median_composite,std,ci95,mean_delta,total_n,min_n_type,rank
Business,Amsterdam,460.0,8.899565217391304,8.9,0.12008247486852419,0.010973793549628954,-0.3112318840579709,10371,104,1
Business,Dubai,434.0,8.892758393680053,8.9,0.12207163598072798,0.011484867034692437,-0.31939324116743495,10371,104,2
Business,Singapore,407.0,8.85201825201825,8.842857142857143,0.11974476587841416,0.0116336342517361,-0.2967239967239966,10371,104,3
Couple,Dubai,706.0,9.050121408336706,9.057142857142855,0.1154555740589011,0.008516646586948447,-0.15606704438149213,17240,173,1
Couple,Amsterdam,631.0,9.049807561693457,9.057142857142855,0.1166474168475672,0.009101574274187691,-0.15805599577390375,17240,173,2
Couple,Singapore,700.0,9.00669387755102,9.000000000000002,0.12059808883685652,0.008934031446255918,-0.13345238095238077,17240,173,3
Family,Dubai,452.0,9.194816687737042,9.2,0.11856590538487233,0.010930667304485765,-0.008443952802360042,11945,120,1
Family,Amsterdam,444.0,9.186936936936938,9.185714285714285,0.11788657298746989,0.010965512367605925,-0.01460210210210198,11945,120,2
Family,Shanghai,481.0,9.152093852093852,9.157142857142858,0.11821719324563665,0.010564870478609463,0.017255717255717423,11945,120,3
Solo,Dubai,443.0,9.091938084488874,9.085714285714285,0.11776953410394378,0.010966982872903675,-0.10948081264108368,10444,105,1
Solo,Amsterdam,414.0,9.085610766045548,9.07857142857143,0.11720370782222098,0.011290086047277983,-0.11819645732689198,10444,105,2
Solo,Shanghai,446.0,9.049359385009609,9.057142857142855,0.11750404938991844,0.010905396877926105,-0.087556053811659,10444,105,3
