country_group,score_overall,score_cleanliness,score_comfort,score_facilities,score_location,user_country,score_staff,score_value_for_money,user_gender,age_group,traveller_type,cleanliness_base,comfort_base,facilities_base,location_base,staff_base,value_for_money_base
North_America,8.7,8.6,8.7,8.5,9.0,New Zealand,8.8,8.7,Female,25-34,Solo,9.1,8.8,8.9,9.5,8.6,8.0
East_Asia,9.1,10.0,9.1,9.0,8.6,United Kingdom,9.4,8.6,Female,35-44,Couple,9.6,9.0,9.3,8.5,9.5,8.2
Africa,8.8,9.7,8.8,8.3,8.7,Spain,8.1,8.6,Female,55+,Couple,8.8,8.7,8.6,9.1,8.7,8.4
Western_Europe,8.9,9.0,8.8,8.5,9.6,United Kingdom,9.1,8.3,Female,35-44,Business,9.2,9.1,8.9,9.7,9.0,8.8
Eastern_Europe,9.1,8.9,9.5,9.3,8.3,Australia,9.4,8.9,Male,45-54,Family,9.1,9.3,9.0,9.0,9.1,8.6
Oceania,8.7,8.2,8.7,8.1,9.5,United States,9.0,8.8,Male,25-34,Solo,8.9,9.0,8.5,9.8,8.9,8.4
South_America,8.9,8.1,9.0,8.6,9.6,China,9.2,8.2,Male,25-34,Business,8.9,8.8,8.7,9.0,8.8,8.7
Southeast_Asia,8.8,8.1,8.7,9.3,9.3,United Arab Emirates,9.5,7.4,Female,25-34,Business,9.2,9.1,9.4,9.7,9.1,8.3
South_Asia,8.8,8.4,8.4,8.1,9.1,Canada,9.5,8.9,Male,35-44,Solo,8.9,8.8,8.7,9.2,8.8,8.6
Africa,8.8,9.4,9.2,8.0,9.3,Brazil,8.3,8.5,Female,35-44,Couple,9.0,9.2,8.8,9.5,9.2,8.4
South_Asia,8.9,9.7,8.9,8.3,9.2,New Zealand,8.9,8.2,Male,25-34,Couple,8.9,8.8,8.7,9.2,8.8,8.6
Africa,8.7,8.7,8.5,8.6,9.8,United Kingdom,8.8,7.3,Male,25-34,Business,8.8,8.7,8.6,9.1,8.7,8.4
Africa,8.7,8.6,8.8,8.9,9.0,United Kingdom,9.0,7.6,Male,45-54,Business,8.8,8.7,8.6,9.1,8.7,8.4
Western_Europe,9.1,9.4,8.9,9.1,8.7,United States,9.6,8.9,Male,35-44,Family,9.3,9.2,9.0,9.1,9.1,8.7
Oceania,9.1,8.7,8.4,9.2,9.4,Argentina,9.7,8.8,Male,18-24,Solo,9.3,9.2,9.1,9.0,9.1,8.8
North_America,8.7,8.8,8.9,8.4,8.9,Spain,8.7,8.4,Female,55+,Solo,9.1,8.8,8.9,9.5,8.6,8.0
North_America,8.8,8.3,8.6,9.1,9.5,Australia,9.1,7.5,Male,25-34,Business,9.1,8.8,8.9,9.5,8.6,8.0
Southeast_Asia,8.9,9.4,9.5,8.5,9.5,United States,8.3,8.0,Female,25-34,Couple,9.2,9.1,9.4,9.7,9.1,8.3
Western_Europe,8.8,8.6,8.7,8.5,9.3,United States,9.2,8.3,Male,18-24,Solo,8.8,9.4,8.7,9.6,9.3,8.1
East_Asia,9.0,9.7,8.7,9.0,9.1,Germany,9.0,8.4,Male,55+,Family,9.1,9.0,9.2,9.6,9.0,8.9
Africa,8.7,8.9,9.5,7.9,9.2,Netherlands,8.1,8.3,Female,35-44,Couple,8.7,8.6,8.5,8.9,8.6,8.4
Western_Europe,9.1,9.3,9.4,9.6,8.9,United States,8.9,8.2,Male,35-44,Family,9.0,9.2,8.8,9.4,9.0,7.9
Africa,9.0,9.8,9.6,7.9,9.1,Canada,9.1,8.2,Female,25-34,Couple,9.0,9.2,8.8,9.5,9.2,8.4
Southeast_Asia,9.1,9.0,8.8,8.9,9.3,United Kingdom,9.5,8.9,Male,55+,Solo,9.0,9.2,9.1,9.4,9.1,8.6
Oceania,8.9,9.1,9.7,7.8,9.7,Spain,8.5,8.0,Male,35-44,Couple,8.9,9.0,8.5,9.8,8.9,8.4
East_Asia,9.0,8.9,8.9,9.5,9.4,Russia,9.4,7.2,Female,25-34,Business,9.6,9.0,9.3,8.5,9.5,8.2
Oceania,9.0,9.6,9.9,8.0,9.1,China,8.4,8.6,Male,25-34,Couple,9.3,9.2,9.1,9.0,9.1,8.8
Eastern_Europe,9.2,9.0,9.5,9.6,9.0,United States,9.5,8.5,Female,25-34,Family,9.1,9.3,9.0,9.0,9.1,8.6
Southeast_Asia,9.0,8.7,8.9,9.5,9.3,Australia,8.7,8.3,Female,35-44,Business,9.0,9.2,9.1,9.4,9.1,8.6
